"airbnb_listing_id","latitude","longitude","suburb","country","state","city","aquisition_date"
"1318095501459517296","-27.13170949113793","-48.605063312484674","Meia Praia","Brasil","Santa Catarina","Itapema","2025-01-06 19:03:37.409"
"1314764695798251721","-27.1443426","-48.58872849999999","Meia Praia","Brasil","Santa Catarina","Itapema","2025-01-06 19:03:37.409"
"1315135179041078348","-27.12386776643521","-48.6053962","Meia Praia","Brasil","Santa Catarina","Itapema","2025-01-06 19:03:37.409"
"1320102250145284179","-27.14604","-48.59059","Meia Praia","Brasil","Santa Catarina","Itapema","2025-01-06 19:03:50.766"
"1281447974687781532","-27.13593259890212","-48.60713291913271","Meia Praia","Brasil","Santa Catarina","Itapema","2025-01-06 19:03:50.766"
"1314729269633513523","-27.1349716","-48.60744469999999","Meia Praia","Brasil","Santa Catarina","Itapema","2025-01-06 19:10:07.835"
"1318174922191887812","-27.095670706238163","-48.61357055917932","Centro","Brasil","Santa Catarina","Itapema","2025-01-06 19:11:23.699"
"1315843176541999716","-27.1257","-48.60579","Meia Praia","Brasil","Santa Catarina","Itapema","2025-01-06 19:11:23.699"
"1313912109489456358","-27.128847247289507","-48.6191539093852","Morretes","Brasil","Santa Catarina","Itapema","2025-01-06 19:11:30.292"
"1251662764548638555","-27.087748689928787","-48.60303685069084","Canto da Praia","Brasil","Santa Catarina","Itapema","2024-09-30 19:08:13.110"
"1251624845796760916","-27.13128290915132","-48.61798654102023","Morretes","Brasil","Santa Catarina","Itapema","2024-09-30 19:08:37.365"
"787361488757051131","-27.10158920288086","-48.61431884765625","Centro","Brasil","Santa Catarina","Itapema","2024-02-12 19:00:47.905"
"1079020200354869279","-27.1259994506836","-48.617000579833984","Morretes","Brasil","Santa Catarina","Itapema","2024-02-12 19:01:10.759"
"1075444278753674442","-27.12800025939941","-48.60200119018555","Meia Praia","Brasil","Santa Catarina","Itapema","2024-02-12 19:02:35.806"
"1060899311557227968","-27.14299964904785","-48.5880012512207","Meia Praia","Brasil","Santa Catarina","Itapema","2024-02-12 19:03:23.701"
"1061476831992709667","-27.13500022888184","-48.595001220703125","Meia Praia","Brasil","Santa Catarina","Itapema","2024-02-12 19:04:29.629"
"1075503699104403085","-27.13599967956543","-48.59400177001953","Meia Praia","Brasil","Santa Catarina","Itapema","2024-02-12 19:04:15.591"
"1061599235445335647","-27.1200008392334","-48.60699844360352","Meia Praia","Brasil","Santa Catarina","Itapema","2024-02-12 19:03:40.064"
"1061867942571538346","-27.13800048828125","-48.59700012207031","Meia Praia","Brasil","Santa Catarina","Itapema","2024-02-12 19:04:21.391"
"665236915472525453","-27.10766720224981","-48.6164619281723","Tabuleiro dos Oliveiras","Brasil","Santa Catarina","Itapema","2026-02-16 20:16:28.313"
"786943675253123046","-27.13778","-48.5976","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:39:23.748"
"793411418553021490","-27.1314601898","-48.6065292358","Meia Praia","Brasil","Santa Catarina","Itapema","2023-01-19 12:18:27.000"
"776544149666899830","-27.1284008026","-48.6085281372","Meia Praia","Brasil","Santa Catarina","Itapema","2023-01-19 12:18:27.000"
"762112217871324562","-27.1306991577","-48.6009597778","Meia Praia","Brasil","Santa Catarina","Itapema","2022-12-06 12:43:34.000"
"22012670","-27.0992507935","-48.613319397","Centro","Brasil","Santa Catarina","Itapema","2023-06-26 19:11:04.000"
"38957661","-27.1285","-48.60494","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:13:16.556"
"45513430","-27.12275","-48.60783","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:39:19.402"
"756694136313805463","-27.1229991913","-48.6069984436","Meia Praia","Brasil","Santa Catarina","Itapema","2022-12-06 12:43:34.000"
"771187443060599954","-27.13599967956543","-48.5989990234375","Meia Praia","Brasil","Santa Catarina","Itapema","2023-03-24 16:53:47.000"
"22334703","-27.135129928588867","-48.601318359375","Meia Praia","Brasil","Santa Catarina","Itapema","2023-02-09 17:50:40.000"
"46220279","-27.12299919128418","-48.60599899291992","Meia Praia","Brasil","Santa Catarina","Itapema","2023-02-09 15:17:56.000"
